x,y,no2,pm10,pm2.5,NO2_Index,PM10_Index,PM2.5_Index,Worst_Index
370825,5808425,12,14,9,2,1,2,2
370825,5808475,12,14,9,2,1,2,2
370825,5808525,12,14,9,2,1,2,2
370825,5808575,12,14,9,2,1,2,2
370825,5808625,12,14,9,2,1,2,2
370825,5808675,12,14,9,2,1,2,2
370825,5808725,13,15,10,2,1,2,2
370825,5808775,15,19,11,2,2,3,3
370825,5808825,11,15,10,2,1,2,2
370825,5808875,11,15,10,2,1,2,2
370825,5808925,11,15,10,2,1,2,2
370825,5808975,11,15,10,2,1,2,2
370825,5809025,11,15,10,2,1,2,2
370825,5809075,11,15,10,2,1,2,2
370825,5809125,11,15,10,2,1,2,2
370825,5809175,11,15,10,2,1,2,2
370825,5809225,11,15,10,2,1,2,2
370825,5809275,11,15,10,2,1,2,2
370825,5809325,11,15,10,2,1,2,2
370825,5809375,11,15,10,2,1,2,2
370825,5809425,11,15,10,2,1,2,2
370825,5809475,11,15,10,2,1,2,2
370825,5809525,11,15,10,2,1,2,2
370825,5809575,11,15,10,2,1,2,2
370825,5809625,11,15,10,2,1,2,2
370825,5809675,11,15,10,2,1,2,2
370825,5809725,11,15,9,2,1,2,2
370825,5809775,11,14,9,2,1,2,2
370825,5809825,11,14,9,2,1,2,2
370825,5809875,11,15,9,2,1,2,2
370825,5809925,12,14,9,2,1,2,2
370825,5809975,12,14,9,2,1,2,2
370825,5810025,11,14,9,2,1,2,2
370825,5810075,12,14,9,2,1,2,2
370875,5808375,12,14,9,2,1,2,2
370875,5808425,12,14,9,2,1,2,2
370875,5808475,12,14,9,2,1,2,2
370875,5808525,12,14,9,2,1,2,2
370875,5808575,12,14,9,2,1,2,2
370875,5808625,12,14,9,2,1,2,2
370875,5808675,12,14,9,2,1,2,2
370875,5808725,13,15,10,2,1,2,2
370875,5808775,14,19,11,2,2,3,3
370875,5808825,12,15,10,2,1,2,2
370875,5808875,11,15,10,2,1,2,2
370875,5808925,11,15,10,2,1,2,2
370875,5808975,11,15,10,2,1,2,2
370875,5809025,11,15,10,2,1,2,2
370875,5809075,11,15,10,2,1,2,2
370875,5809125,11,15,10,2,1,2,2
370875,5809175,11,15,10,2,1,2,2
370875,5809225,11,15,10,2,1,2,2
370875,5809275,11,15,10,2,1,2,2
370875,5809325,11,15,10,2,1,2,2
370875,5809375,11,15,10,2,1,2,2
370875,5809425,11,15,10,2,1,2,2
370875,5809475,11,15,10,2,1,2,2
370875,5809525,11,15,10,2,1,2,2
370875,5809575,11,15,10,2,1,2,2
370875,5809625,11,15,10,2,1,2,2
370875,5809675,11,15,10,2,1,2,2
370875,5809725,11,14,9,2,1,2,2
370875,5809775,11,14,9,2,1,2,2
370875,5809825,11,14,9,2,1,2,2
370875,5809875,12,14,9,2,1,2,2
370875,5809925,12,14,9,2,1,2,2
370875,5809975,12,14,9,2,1,2,2
370875,5810025,12,14,9,2,1,2,2
370875,5810075,12,14,9,2,1,2,2
370925,5808325,12,14,9,2,1,2,2
370925,5808375,12,14,9,2,1,2,2
370925,5808425,12,14,9,2,1,2,2
370925,5808475,12,14,9,2,1,2,2
370925,5808525,12,14,9,2,1,2,2
370925,5808575,12,14,9,2,1,2,2
370925,5808625,12,14,9,2,1,2,2
370925,5808675,12,14,9,2,1,2,2
370925,5808725,13,15,10,2,1,2,2
370925,5808775,15,19,11,2,2,3,3
370925,5808825,12,15,10,2,1,2,2
370925,5808875,11,15,10,2,1,2,2
370925,5808925,11,15,10,2,1,2,2
370925,5808975,11,15,10,2,1,2,2
370925,5809025,11,15,10,2,1,2,2
370925,5809075,11,15,10,2,1,2,2
370925,5809125,11,15,10,2,1,2,2
370925,5809175,11,15,10,2,1,2,2
370925,5809225,11,15,10,2,1,2,2
370925,5809275,11,15,10,2,1,2,2
370925,5809325,11,15,10,2,1,2,2
370925,5809375,11,15,10,2,1,2,2
370925,5809425,11,15,10,2,1,2,2
370925,5809475,11,15,10,2,1,2,2
370925,5809525,11,15,10,2,1,2,2
370925,5809575,11,15,10,2,1,2,2
370925,5809625,11,15,10,2,1,2,2
370925,5809675,11,15,10,2,1,2,2
370925,5809725,11,14,9,2,1,2,2
370925,5809775,11,14,9,2,1,2,2
370925,5809825,11,14,9,2,1,2,2
370925,5809875,12,14,9,2,1,2,2
370925,5809925,12,14,9,2,1,2,2
370925,5809975,12,14,9,2,1,2,2
370925,5810025,12,14,9,2,1,2,2
370975,5808325,12,14,9,2,1,2,2
370975,5808375,12,14,9,2,1,2,2
370975,5808425,12,14,9,2,1,2,2
370975,5808475,12,14,9,2,1,2,2
370975,5808525,12,14,9,2,1,2,2
370975,5808575,12,14,9,2,1,2,2
370975,5808625,12,14,9,2,1,2,2
370975,5808675,12,14,9,2,1,2,2
370975,5808725,13,15,10,2,1,2,2
370975,5808775,15,19,11,2,2,3,3
370975,5808825,12,15,10,2,1,2,2
370975,5808875,11,15,10,2,1,2,2
370975,5808925,11,15,10,2,1,2,2
370975,5808975,11,15,10,2,1,2,2
370975,5809025,11,15,10,2,1,2,2
370975,5809075,11,15,10,2,1,2,2
370975,5809125,11,15,10,2,1,2,2
370975,5809175,11,15,10,2,1,2,2
370975,5809225,11,15,10,2,1,2,2
370975,5809275,11,15,10,2,1,2,2
370975,5809325,11,15,10,2,1,2,2
370975,5809375,11,15,10,2,1,2,2
370975,5809425,11,15,10,2,1,2,2
370975,5809475,11,15,10,2,1,2,2
370975,5809525,11,15,10,2,1,2,2
370975,5809575,11,15,10,2,1,2,2
370975,5809625,11,15,10,2,1,2,2
370975,5809675,11,15,10,2,1,2,2
370975,5809725,11,14,9,2,1,2,2
370975,5809775,11,14,9,2,1,2,2
370975,5809825,11,14,9,2,1,2,2
370975,5809875,12,14,9,2,1,2,2
370975,5809925,12,14,9,2,1,2,2
370975,5809975,12,14,9,2,1,2,2
371025,5808275,12,14,9,2,1,2,2
371025,5808325,12,14,9,2,1,2,2
371025,5808375,12,14,9,2,1,2,2
371025,5808425,12,14,9,2,1,2,2
371025,5808475,12,14,9,2,1,2,2
371025,5808525,12,14,9,2,1,2,2
371025,5808575,12,14,9,2,1,2,2
371025,5808625,12,14,9,2,1,2,2
371025,5808675,12,14,9,2,1,2,2
371025,5808725,14,16,10,2,2,2,2
371025,5808775,16,19,11,3,2,3,3
371025,5808825,11,15,10,2,1,2,2
371025,5808875,11,15,10,2,1,2,2
371025,5808925,11,15,10,2,1,2,2
371025,5808975,11,15,10,2,1,2,2
371025,5809025,11,15,10,2,1,2,2
371025,5809075,11,15,10,2,1,2,2
371025,5809125,11,15,10,2,1,2,2
371025,5809175,11,15,10,2,1,2,2
371025,5809225,11,15,10,2,1,2,2
371025,5809275,11,15,10,2,1,2,2
371025,5809325,11,15,10,2,1,2,2
371025,5809375,11,15,10,2,1,2,2
371025,5809425,11,15,10,2,1,2,2
371025,5809475,11,15,10,2,1,2,2
371025,5809525,11,15,10,2,1,2,2
371025,5809575,11,15,10,2,1,2,2
371025,5809625,11,15,10,2,1,2,2
371025,5809675,11,15,10,2,1,2,2
371025,5809725,11,14,9,2,1,2,2
371025,5809775,11,14,9,2,1,2,2
371025,5809825,11,14,9,2,1,2,2
371025,5809875,12,14,9,2,1,2,2
371025,5809925,12,14,9,2,1,2,2
371025,5809975,12,14,9,2,1,2,2
371075,5808275,12,14,9,2,1,2,2
371075,5808325,12,14,9,2,1,2,2
371075,5808375,12,14,9,2,1,2,2
371075,5808425,12,14,9,2,1,2,2
371075,5808475,12,14,9,2,1,2,2
371075,5808525,12,14,9,2,1,2,2
371075,5808575,12,14,9,2,1,2,2
371075,5808625,12,14,9,2,1,2,2
371075,5808675,12,14,9,2,1,2,2
371075,5808725,16,19,11,3,2,3,3
371075,5808775,12,15,10,2,1,2,2
371075,5808825,11,15,10,2,1,2,2
371075,5808875,11,15,10,2,1,2,2
371075,5808925,11,15,10,2,1,2,2
371075,5808975,11,15,10,2,1,2,2
371075,5809025,11,15,10,2,1,2,2
371075,5809075,11,15,10,2,1,2,2
371075,5809125,11,15,10,2,1,2,2
371075,5809175,11,15,10,2,1,2,2
371075,5809225,11,15,10,2,1,2,2
371075,5809275,11,15,10,2,1,2,2
371075,5809325,11,15,10,2,1,2,2
371075,5809375,11,15,10,2,1,2,2
371075,5809425,11,15,10,2,1,2,2
371075,5809475,11,15,10,2,1,2,2
371075,5809525,11,15,10,2,1,2,2
371075,5809575,11,15,10,2,1,2,2
371075,5809625,11,15,10,2,1,2,2
371075,5809675,11,15,10,2,1,2,2
371075,5809725,11,14,9,2,1,2,2
371075,5809775,11,14,9,2,1,2,2
371075,5809825,12,14,9,2,1,2,2
371075,5809875,12,14,9,2,1,2,2
371075,5809925,12,14,9,2,1,2,2
371125,5808275,12,14,9,2,1,2,2
371125,5808325,12,14,9,2,1,2,2
371125,5808375,12,14,9,2,1,2,2
